--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
039.171  000.037  000.010: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.256  000.074  000.074: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/rplugin.vim
039.257  000.084  000.010: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.296  000.026  000.026: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/shada.vim
039.297  000.036  000.010: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.316  000.007  000.007: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/spellfile.vim
039.317  000.018  000.011: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.370  000.042  000.042: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/tarPlugin.vim
039.371  000.052  000.009: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.429  000.045  000.045: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/tohtml.lua
039.430  000.058  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.451  000.009  000.009: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/tutor.vim
039.452  000.019  000.010: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.519  000.056  000.056: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/zipPlugin.vim
039.520  000.066  000.010: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.907  000.048  000.048: require('ibl.utils')
039.912  000.095  000.047: require('ibl.config')
039.970  000.029  000.029: require('ibl.indent')
039.973  000.061  000.032: require('ibl.hooks')
039.975  000.187  000.032: require('ibl.highlights')
039.993  000.017  000.017: require('ibl.autocmds')
040.017  000.023  000.023: require('ibl.inlay_hints')
040.037  000.019  000.019: require('ibl.virt_text')
040.164  000.107  000.107: require('ibl.scope_languages')
040.174  000.136  000.029: require('ibl.scope')
040.178  000.490  000.107: require('ibl')
040.192  000.535  000.046: sourcing /home/tommy/.local/share/nvim/lazy/indent-blankline.nvim/after/plugin/commands.lua
040.194  000.552  000.016: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
040.390  000.035  000.035: require('cmp.utils.char')
040.395  000.061  000.026: require('cmp.utils.str')
040.470  000.016  000.016: require('cmp.utils.buffer')
040.476  000.055  000.039: require('cmp.utils.keymap')
040.477  000.082  000.027: require('cmp.utils.feedkeys')
040.560  000.028  000.028: require('cmp.config.mapping')
040.578  000.017  000.017: require('cmp.utils.cache')
