--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
021.780  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
022.614  000.703  000.703: require('vim.filetype')
022.978  000.016  000.016: require('luasnip.util.types')
022.981  000.040  000.024: require('luasnip.util.ext_opts')
023.042  000.014  000.014: require('luasnip.util.lazy_table')
023.060  000.017  000.017: require('luasnip.extras.filetype_functions')
023.065  000.065  000.034: require('luasnip.default_config')
023.067  000.084  000.020: require('luasnip.session')
023.068  000.323  000.199: require('luasnip.config')
023.151  000.014  000.014: require('luasnip.util.vimversion')
023.154  000.042  000.028: require('luasnip.util.util')
023.191  000.014  000.014: require('luasnip.nodes.key_indexer')
023.215  000.023  000.023: require('luasnip.util.feedkeys')
023.218  000.064  000.027: require('luasnip.nodes.util')
023.267  000.018  000.018: require('luasnip.session.snippet_collection.source')
023.284  000.016  000.016: require('luasnip.util.table')
023.301  000.017  000.017: require('luasnip.util.auto_table')
023.306  000.087  000.036: require('luasnip.session.snippet_collection')
023.379  000.022  000.022: require('luasnip.util.select')
023.395  000.016  000.016: require('luasnip.util.time')
023.627  000.299  000.261: require('luasnip.util._builtin_vars')
023.741  000.435  000.136: require('luasnip.util.environ')
023.773  000.030  000.030: require('luasnip.util.extend_decorator')
023.849  000.050  000.050: require('luasnip.util.path')
023.914  000.034  000.034: require('luasnip.util.log')
023.918  000.068  000.034: require('luasnip.loaders.util')
023.938  000.019  000.019: require('luasnip.loaders.data')
023.995  000.056  000.056: require('luasnip.loaders.fs_watchers')
023.998  000.224  000.031: require('luasnip.loaders')
024.011  000.940  000.059: require('luasnip')
024.023  002.140  000.175: sourcing /home/tommy/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
024.025  002.154  000.014: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.073  000.016  000.016: sourcing /home/tommy/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
024.075  000.030  000.014: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.078  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.084  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.112  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.115  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.251  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.265  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.384  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.387  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.493  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.496  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.590  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.593  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
024.710  000.054  000.054: require('cmp.utils.api')
024.755  000.018  000.018: require('cmp.types.cmp')
024.805  000.025  000.025: require('cmp.utils.misc')
024.815  000.059  000.034: require('cmp.types.lsp')
024.830  000.014  000.014: require('cmp.types.vim')
024.831  000.119  000.028: require('cmp.types')
024.847  000.016  000.016: require('cmp.utils.highlight')
024.882  000.015  000.015: require('cmp.utils.debug')
024.885  000.038  000.023: require('cmp.utils.autocmd')
025.050  000.004  000.004: sourcing nvim_exec2() called at /home/tommy/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua:0
025.052  000.423  000.193: sourcing /home/tommy/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
025.053  000.436  000.013: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
025.057  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
025.062  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
025.206  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
025.209  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
025.404  000.018  000.018: require('mason-lspconfig.settings')
025.406  000.145  000.127: require('mason-lspconfig')
025.484  000.071  000.071: require('mason-core.async')
025.537  000.029  000.029: require('mason-core.async.control')
025.562  000.024  000.024: require('mason-core.result')
025.630  000.043  000.043: require('mason-core.async.uv')
025.634  000.071  000.028: require('mason-core.fs')
025.644  000.159  000.034: require('mason-registry.installer')
025.757  000.022  000.022: require('mason-core.optional')
025.912  000.091  000.091: require('mason-core.process')
025.956  000.042  000.042: require('mason-core.spawn')
025.959  000.175  000.042: require('mason-core.installer.managers.powershell')
025.986  000.026  000.026: require('mason.version')
025.988  000.231  000.029: require('mason-core.fetch')
026.020  000.031  000.031: require('mason-core.providers')
026.259  000.116  000.116: require('mason-core.purl')
026.267  000.178  000.062: require('mason-core.package.AbstractPackage')
026.479  000.055  000.055: require('mason-core.installer.compiler.expr')
026.486  000.119  000.065: require('mason-core.installer.compiler.link')
026.699  000.051  000.051: require('mason-core.installer.context.InstallContextCwd')
026.740  000.040  000.040: require('mason-core.installer.context.InstallContextFs')
026.768  000.028  000.028: require('mason-core.installer.context.InstallContextSpawn')
026.828  000.058  000.058: require('mason-core.receipt')
026.848  000.245  000.067: require('mason-core.installer.context')
026.849  000.283  000.038: require('mason-core.installer')
026.865  000.345  000.063: require('mason-core.installer.managers.std')
026.871  000.384  000.038: require('mason-core.installer.compiler.schemas')
026.904  000.032  000.032: require('mason-core.installer.compiler.util')
026.915  000.601  000.066: require('mason-core.installer.compiler')
026.965  000.049  000.049: require('mason-core.installer.linker')
026.971  000.703  000.052: require('mason-core.installer.InstallRunner')
027.006  000.035  000.035: require('mason-core.installer.UninstallRunner')
027.013  000.963  000.048: require('mason-core.package')
027.014  000.993  000.030: require('mason-registry.sources.util')
027.021  001.323  000.046: require('mason-registry.sources.github')
029.738  000.037  000.037: require('mason-lspconfig.mappings')
029.742  000.173  000.136: require('mason-lspconfig.features.automatic_enable')
035.098  000.048  000.048: require('mason-lspconfig.notify')
035.127  000.143  000.095: require('mason-lspconfig.api.command')
035.379  000.141  000.141: sourcing /home/tommy/.local/share/nvim/lazy/CopilotChat.nvim/plugin/CopilotChat.lua
035.384  000.176  000.035: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.394  000.004  000.004: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.406  000.003  000.003: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.921  000.022  000.022: sourcing /home/tommy/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
035.924  000.037  000.015: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.928  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.932  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.937  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.940  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.088  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.091  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.418  000.184  000.184: sourcing /home/tommy/.local/share/nvim/lazy/auto-pairs/plugin/auto-pairs.vim
036.420  000.196  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.424  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.428  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.881  000.020  000.020: require('Comment.config')
036.941  000.036  000.036: require('Comment.ft')
036.944  000.062  000.026: require('Comment.utils')
036.963  000.018  000.018: require('Comment.opfunc')
036.979  000.015  000.015: require('Comment.extra')
036.981  000.300  000.184: require('Comment.api')
037.016  000.375  000.075: sourcing /home/tommy/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
037.018  000.388  000.013: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.023  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.029  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.061  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.064  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.194  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.197  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.481  000.135  000.135: sourcing /home/tommy/.local/share/nvim/lazy/conflict-marker.vim/plugin/conflict_marker.vim
037.483  000.148  000.013: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.491  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.495  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.849  000.206  000.206: sourcing /home/tommy/.local/share/nvim/lazy/vim-sleuth/plugin/sleuth.vim
037.851  000.218  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.855  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.859  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.025  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.029  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.306  000.002  000.002: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.316  000.002  000.002: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.723  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.727  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.860  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.864  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
